mean_test_score,mean_fit_time,std_test_score,clf,clf__C,clf__gamma,clf__kernel,clf__criterion,clf__max_depth,clf__min_samples_leaf
0.5025,0.10035014152526855,0.05626388717463452,DecisionTree,,,,entropy,,10.0
0.50125,0.08469791412353515,0.02663409469082815,DecisionTree,,,,entropy,10.0,5.0
0.49124999999999996,0.0351219654083252,0.02455860338048562,DecisionTree,,,,gini,10.0,1.0
0.48624999999999996,0.03585119247436523,0.019921721813136513,DecisionTree,,,,gini,,1.0
0.47125000000000006,0.0707979679107666,0.03803781013675737,DecisionTree,,,,entropy,5.0,10.0
0.465,0.07059760093688965,0.02811805469800497,SVC,0.1,0.01,rbf,,,
0.4625,0.0680023193359375,0.022360679774997894,DecisionTree,,,,entropy,5.0,1.0
0.4625,0.06140575408935547,0.0298433409657833,SVC,1.0,0.001,sigmoid,,,
0.4600000000000001,0.07135801315307617,0.020386883037875104,DecisionTree,,,,entropy,5.0,5.0
0.45999999999999996,0.031796836853027345,0.033911649915626334,DecisionTree,,,,gini,10.0,5.0
0.45999999999999996,0.028597307205200196,0.022569337606584736,DecisionTree,,,,gini,,10.0
0.45875000000000005,0.03319997787475586,0.03803781013675734,DecisionTree,,,,gini,,5.0
0.45874999999999994,0.03139662742614746,0.022912878474779203,DecisionTree,,,,gini,10.0,10.0
0.45500000000000007,0.06699776649475098,0.02069118169655857,SVC,0.1,0.01,sigmoid,,,
0.44625000000000004,0.06584377288818359,0.04081206929328627,DecisionTree,,,,entropy,,30.0
0.44625000000000004,0.054599428176879884,0.04081206929328627,DecisionTree,,,,entropy,10.0,30.0
0.445,0.05939970016479492,0.014469796128487785,DecisionTree,,,,entropy,5.0,20.0
0.44375,0.05959506034851074,0.014790199457749044,DecisionTree,,,,entropy,10.0,20.0
0.44375,0.07850432395935059,0.014790199457749044,DecisionTree,,,,entropy,,20.0
0.4425,0.057599449157714845,0.03820176697484031,DecisionTree,,,,entropy,5.0,30.0
0.42874999999999996,0.021402597427368164,0.036357598930622466,DecisionTree,,,,gini,5.0,1.0
0.425,0.023998212814331055,0.043660622991432446,DecisionTree,,,,gini,,30.0
0.425,0.024396562576293947,0.043660622991432446,DecisionTree,,,,gini,10.0,30.0
0.42374999999999996,0.02779841423034668,0.01741048534648014,DecisionTree,,,,gini,,20.0
0.42374999999999996,0.02319793701171875,0.03940970692608611,DecisionTree,,,,gini,5.0,5.0
0.42374999999999996,0.02579922676086426,0.01741048534648014,DecisionTree,,,,gini,10.0,20.0
0.4175,0.021808624267578125,0.034095454242464636,DecisionTree,,,,gini,5.0,10.0
0.4050000000000001,0.021799278259277344,0.04019483797703382,DecisionTree,,,,gini,5.0,30.0
0.40374999999999994,0.022795915603637695,0.0325,DecisionTree,,,,gini,5.0,20.0
0.39749999999999996,0.2839225769042969,0.034595881257745126,RandomForest,,,,gini,1.0,1.0
0.39625000000000005,0.05299444198608398,0.03177066256784709,DecisionTree,,,,entropy,3.0,1.0
0.39625000000000005,0.05000753402709961,0.03177066256784709,DecisionTree,,,,entropy,3.0,10.0
0.39625000000000005,0.0588036060333252,0.03177066256784709,DecisionTree,,,,entropy,3.0,5.0
0.39375,0.25027265548706057,0.016298006013006627,RandomForest,,,,gini,1.0,30.0
0.39,0.25269012451171874,0.026983791431153627,RandomForest,,,,gini,1.0,5.0
0.3862500000000001,0.04700179100036621,0.03363406011768427,DecisionTree,,,,entropy,3.0,30.0
0.38625,0.059765863418579104,0.028339460121886588,DecisionTree,,,,entropy,3.0,20.0
0.3825,0.25914435386657714,0.028339460121886585,RandomForest,,,,gini,1.0,20.0
0.3825,0.05123357772827149,0.04616546328154848,SVC,1.0,0.01,poly,,,
0.37124999999999997,0.269978666305542,0.028668362352949287,RandomForest,,,,gini,1.0,10.0
0.36125,0.3017578601837158,0.022150056433336684,RandomForest,,,,entropy,1.0,1.0
0.36,0.30309147834777833,0.019202864369671516,RandomForest,,,,entropy,1.0,20.0
0.35625,0.34411230087280276,0.0270993542358485,RandomForest,,,,entropy,1.0,5.0
0.35250000000000004,0.29541716575622556,0.016105123408406415,RandomForest,,,,entropy,1.0,10.0
0.34875,0.3014713764190674,0.033166247903554005,RandomForest,,,,entropy,1.0,30.0
0.34625,0.06246604919433594,0.020386883037875114,SVC,0.1,0.1,sigmoid,,,
0.34,0.014809846878051758,0.043767853500028986,DecisionTree,,,,gini,3.0,1.0
0.34,0.01679835319519043,0.04412340648680698,DecisionTree,,,,gini,3.0,5.0
0.34,0.014998722076416015,0.049780769379349686,DecisionTree,,,,gini,3.0,30.0
0.3375,0.0163970947265625,0.04238956239453292,DecisionTree,,,,gini,3.0,10.0
0.3375,0.013998889923095703,0.03972562145517677,DecisionTree,,,,gini,3.0,20.0
0.30250000000000005,0.0353971004486084,0.015103807466993203,DecisionTree,,,,entropy,2.0,20.0
0.30250000000000005,0.04399724006652832,0.015103807466993203,DecisionTree,,,,entropy,2.0,1.0
0.30250000000000005,0.03999686241149902,0.015103807466993203,DecisionTree,,,,entropy,2.0,5.0
0.30250000000000005,0.03639535903930664,0.015103807466993203,DecisionTree,,,,entropy,2.0,10.0
0.30250000000000005,0.03859858512878418,0.015103807466993203,DecisionTree,,,,entropy,2.0,30.0
0.26625,0.04179563522338867,0.04304793839430641,SVC,10.0,0.1,sigmoid,,,
0.26375000000000004,0.017608642578125,0.030720514318611263,DecisionTree,,,,gini,2.0,5.0
0.26375000000000004,0.022008943557739257,0.030720514318611263,DecisionTree,,,,gini,2.0,1.0
0.2625,0.015810251235961914,0.031374750995027824,DecisionTree,,,,gini,2.0,10.0
0.26,0.013795423507690429,0.03297726489568229,DecisionTree,,,,gini,2.0,20.0
0.26,0.014197397232055663,0.03297726489568229,DecisionTree,,,,gini,2.0,30.0
0.25125,0.06179566383361816,0.018708286933869712,SVC,0.1,1.0,sigmoid,,,
0.24,0.04568462371826172,0.039250796170268956,SVC,1.0,0.1,sigmoid,,,
0.23500000000000001,0.03659853935241699,0.026398390102428608,SVC,100.0,0.1,sigmoid,,,
0.20249999999999999,0.04619956016540527,0.026983791431153627,SVC,10.0,1.0,sigmoid,,,
0.20125,0.04523205757141113,0.029154759474226508,SVC,1.0,1.0,sigmoid,,,
0.19749999999999998,0.03660163879394531,0.01960548392669765,SVC,100.0,1.0,sigmoid,,,
0.15625,0.08272876739501953,0.015811388300841892,SVC,100.0,1.0,rbf,,,
