mean_test_score,mean_fit_time,std_test_score,clf,clf__C,clf__gamma,clf__kernel,clf__criterion,clf__max_depth,clf__min_samples_leaf
0.6010000000000001,0.03735642433166504,0.07895568377260755,SVC,100.0,0.001,rbf,,,
0.5890000000000001,0.03843522071838379,0.04933558553417603,SVC,100.0,0.0001,rbf,,,
0.5890000000000001,0.03801083564758301,0.05499090833947008,SVC,10.0,0.001,rbf,,,
0.588,0.04679651260375976,0.06757218362610462,SVC,1000.0,0.0001,rbf,,,
0.583,0.044252967834472655,0.05143928459844674,SVC,1000.0,0.001,rbf,,,
0.579,0.8376314640045166,0.0597829407105405,RandomForest,,,,entropy,6.0,5.0
0.5760000000000001,0.34022297859191897,0.0646065012208524,RandomForest,,,,gini,6.0,5.0
0.57,0.06557145118713378,0.04929503017546494,SVC,10.0,,linear,,,
0.568,0.3440238952636719,0.06779380502671317,RandomForest,,,,gini,6.0,10.0
0.568,0.05980381965637207,0.04770744176750624,SVC,100.0,,linear,,,
0.568,0.06179933547973633,0.04770744176750624,SVC,1000.0,,linear,,,
0.567,0.05012354850769043,0.06531462317123171,SVC,1.0,,linear,,,
0.562,0.686253833770752,0.06337191807101944,RandomForest,,,,entropy,6.0,10.0
0.529,0.3034090518951416,0.05314132102234567,RandomForest,,,,gini,4.0,5.0
0.5269999999999999,0.0810215950012207,0.060464865831323884,DecisionTree,,,,entropy,9.0,6.0
0.524,0.08860507011413574,0.06351377803280166,DecisionTree,,,,entropy,13.0,5.0
0.5209999999999999,0.08319926261901855,0.053609700614720826,DecisionTree,,,,entropy,9.0,5.0
0.5199999999999999,0.08139991760253906,0.06099180272790761,DecisionTree,,,,entropy,11.0,6.0
0.5189999999999999,0.08299951553344727,0.06851277253184254,DecisionTree,,,,entropy,13.0,6.0
0.5189999999999999,0.08619694709777832,0.07371566997592845,DecisionTree,,,,entropy,13.0,4.0
0.518,0.08139476776123047,0.05353503525729667,DecisionTree,,,,entropy,9.0,7.0
0.518,0.09979586601257324,0.05697367813297644,DecisionTree,,,,entropy,10.0,5.0
0.517,0.07999553680419921,0.040074929819027744,DecisionTree,,,,entropy,7.0,4.0
0.517,0.07939467430114747,0.05201922721455979,DecisionTree,,,,entropy,10.0,7.0
0.516,0.08542051315307617,0.05817215828899594,DecisionTree,,,,entropy,11.0,5.0
0.515,0.07921862602233887,0.057008771254956875,DecisionTree,,,,entropy,11.0,7.0
0.514,0.08949046134948731,0.05616048432839589,DecisionTree,,,,entropy,10.0,6.0
0.513,0.08042869567871094,0.05316013544000802,DecisionTree,,,,entropy,13.0,7.0
0.513,0.09238052368164062,0.07103520254071215,DecisionTree,,,,entropy,10.0,4.0
0.512,0.07894320487976074,0.04202380277890139,DecisionTree,,,,entropy,7.0,5.0
0.511,0.08843097686767579,0.04247352116319059,DecisionTree,,,,entropy,7.0,7.0
0.511,0.0944288730621338,0.082365041127896,DecisionTree,,,,entropy,9.0,4.0
0.5109999999999999,0.08559918403625488,0.07220803279414277,DecisionTree,,,,entropy,11.0,4.0
0.5090000000000001,0.6250064373016357,0.05598214000911361,RandomForest,,,,entropy,4.0,10.0
0.509,0.08095178604125977,0.042591078878093706,DecisionTree,,,,entropy,7.0,6.0
0.4990000000000001,0.0796008586883545,0.03569313659514951,DecisionTree,,,,entropy,13.0,8.0
0.4990000000000001,0.08919868469238282,0.03569313659514951,DecisionTree,,,,entropy,9.0,8.0
0.499,0.2872625350952148,0.0757231800705702,RandomForest,,,,gini,4.0,10.0
0.49800000000000005,0.07739496231079102,0.034871191548325395,DecisionTree,,,,entropy,10.0,8.0
0.49800000000000005,0.6427739143371582,0.06469930447848724,RandomForest,,,,entropy,4.0,5.0
0.495,0.0814016342163086,0.03728270376461452,DecisionTree,,,,entropy,11.0,8.0
0.495,0.033000516891479495,0.05403702434442517,DecisionTree,,,,gini,13.0,6.0
0.491,0.032498645782470706,0.057043842787806665,DecisionTree,,,,gini,10.0,6.0
0.49000000000000005,0.03481292724609375,0.05338539126015658,DecisionTree,,,,gini,13.0,4.0
0.489,0.03799395561218262,0.04973932046178354,DecisionTree,,,,gini,11.0,4.0
0.4870000000000001,0.03300080299377441,0.051633322573702366,DecisionTree,,,,gini,9.0,4.0
0.487,0.08301792144775391,0.02336664289109585,DecisionTree,,,,entropy,7.0,8.0
0.484,0.03831610679626465,0.04953786430600336,DecisionTree,,,,gini,10.0,7.0
0.483,0.032401657104492186,0.0508527285403645,DecisionTree,,,,gini,13.0,7.0
0.483,0.03239674568176269,0.05706137047074842,DecisionTree,,,,gini,9.0,6.0
0.483,0.03986825942993164,0.04843552415324936,DecisionTree,,,,gini,11.0,6.0
0.48200000000000004,0.03147664070129395,0.05065570056765578,DecisionTree,,,,gini,9.0,7.0
0.479,0.03790149688720703,0.07213875518748572,DecisionTree,,,,gini,10.0,8.0
0.479,0.03259797096252441,0.047791212581394106,DecisionTree,,,,gini,11.0,7.0
0.47800000000000004,0.03401508331298828,0.04422668877499198,DecisionTree,,,,gini,10.0,5.0
