mean_test_score,mean_fit_time,std_test_score,clf,clf__C,clf__gamma,clf__kernel,clf__criterion,clf__max_depth,clf__min_samples_leaf
0.7362500000000001,0.027398681640625,0.01391941090707506,SVC,10.0,0.01,rbf,,,
0.72375,0.02446718215942383,0.014469796128487797,SVC,100.0,0.001,rbf,,,
0.7212500000000001,0.029199743270874025,0.014031215200402267,SVC,100.0,0.01,rbf,,,
0.7100000000000002,0.02740769386291504,0.023251344047172866,SVC,0.1,0.1,poly,,,
0.7100000000000002,0.02820734977722168,0.023251344047172866,SVC,100.0,0.01,poly,,,
0.70625,0.029599380493164063,0.030362394503727803,SVC,10.0,1.0,poly,,,
0.70625,0.02979907989501953,0.030362394503727803,SVC,1.0,0.1,poly,,,
0.70625,0.029007434844970703,0.030362394503727803,SVC,0.1,1.0,poly,,,
0.70625,0.0290771484375,0.030362394503727803,SVC,10.0,0.1,poly,,,
0.70625,0.028399276733398437,0.030362394503727803,SVC,100.0,1.0,poly,,,
0.70625,0.029195356369018554,0.030362394503727803,SVC,100.0,0.1,poly,,,
0.70625,0.028208303451538085,0.030362394503727803,SVC,1.0,1.0,poly,,,
0.70125,0.019391489028930665,0.012747548783981958,SVC,0.1,,linear,,,
0.70125,0.022400283813476564,0.012747548783981958,SVC,100.0,0.001,sigmoid,,,
0.69875,0.6194594383239747,0.03292984968079871,RandomForest,,,,entropy,30.0,1.0
0.6887500000000001,0.02399897575378418,0.019921721813136527,SVC,10.0,0.001,rbf,,,
0.6875,0.6007132530212402,0.034686092313779004,RandomForest,,,,entropy,10.0,1.0
0.68625,0.61240234375,0.03221024681681284,RandomForest,,,,entropy,20.0,1.0
0.685,0.3062632083892822,0.031274990007992026,RandomForest,,,,gini,30.0,1.0
0.68125,0.30559144020080564,0.03259601202601326,RandomForest,,,,gini,20.0,1.0
0.67875,0.03658275604248047,0.019605483926697656,SVC,100.0,,linear,,,
0.67875,0.03540620803833008,0.018791620472966147,SVC,10.0,,linear,,,
0.6775,0.030207395553588867,0.025186802099512365,SVC,1.0,,linear,,,
0.675,0.02741074562072754,0.02766992952647333,SVC,1.0,0.01,rbf,,,
0.6737500000000001,0.30162363052368163,0.03221024681681284,RandomForest,,,,gini,10.0,1.0
0.6637500000000001,0.049729776382446286,0.015512092057488566,SVC,10.0,0.1,rbf,,,
0.6637500000000001,0.05359139442443848,0.015512092057488566,SVC,100.0,0.1,rbf,,,
